title,company,location,salary,level,url,crawled_at,min_salary_raw,max_salary_raw,currency,min_salary_mil_vnd,max_salary_mil_vnd,avg_salary_mil_vnd
Senior Full Stack Developer,Enouvo IT Solutions,Đà Nẵng,35-55 triệu,Senior,https://www.topcv.vn/viec-lam/senior-full-stack-developer,2026-01-30T09:27:19.573552,35.0,55.0,VND,35.0,55.0,45.0
Mid-level Backend Developer,CBI Solutions,Đà Nẵng,22-35 triệu,Mid-level,https://www.topcv.vn/viec-lam/mid-level-backend-developer,2026-01-30T09:27:19.573552,22.0,35.0,VND,22.0,35.0,28.5
Junior Frontend Developer,Enclave,Đà Nẵng,10-16 triệu,Junior,https://www.topcv.vn/viec-lam/junior-frontend-developer,2026-01-30T09:27:19.573552,10.0,16.0,VND,10.0,16.0,13.0
Remote Senior Node.js Developer,Topica Native,Remote,40-65 triệu,Senior,https://www.topcv.vn/viec-lam/remote-senior-node.js-developer,2026-01-30T09:27:19.573552,40.0,65.0,VND,40.0,65.0,52.5
Remote Mid-level React Developer,Golden Owl,Remote,25-40 triệu,Mid-level,https://www.topcv.vn/viec-lam/remote-mid-level-react-developer,2026-01-30T09:27:19.573552,25.0,40.0,VND,25.0,40.0,32.5
Engineering Manager,Lazada Vietnam,Hồ Chí Minh,70-120 triệu,Manager,https://www.topcv.vn/viec-lam/engineering-manager,2026-01-30T09:27:19.573552,70.0,120.0,VND,70.0,120.0,95.0
Technical Product Manager,Manabie,Hà Nội,60-100 triệu,Manager,https://www.topcv.vn/viec-lam/technical-product-manager,2026-01-30T09:27:19.573552,60.0,100.0,VND,60.0,100.0,80.0
CTO (Chief Technology Officer),Startup AI,Hồ Chí Minh,100-200 triệu,Manager,https://www.topcv.vn/viec-lam/cto-(chief-technology-officer),2026-01-30T09:27:19.573552,100.0,200.0,VND,100.0,200.0,150.0
Head of Engineering,Techcombank,Hà Nội,80-150 triệu,Manager,https://www.topcv.vn/viec-lam/head-of-engineering,2026-01-30T09:27:19.573552,80.0,150.0,VND,80.0,150.0,115.0
Development Team Lead,MB Bank,Hồ Chí Minh,55-90 triệu,Lead,https://www.topcv.vn/viec-lam/development-team-lead,2026-01-30T09:27:19.573552,55.0,90.0,VND,55.0,90.0,72.5
Machine Learning Engineer,FPT AI,Hà Nội,35-60 triệu,Mid-level,https://www.topcv.vn/viec-lam/machine-learning-engineer,2026-01-30T09:27:19.573552,35.0,60.0,VND,35.0,60.0,47.5
Security Engineer,BKAV,Hà Nội,30-50 triệu,Mid-level,https://www.topcv.vn/viec-lam/security-engineer,2026-01-30T09:27:19.573552,30.0,50.0,VND,30.0,50.0,40.0
Database Administrator,HDBank,Hồ Chí Minh,28-45 triệu,Mid-level,https://www.topcv.vn/viec-lam/database-administrator,2026-01-30T09:27:19.573552,28.0,45.0,VND,28.0,45.0,36.5
UI/UX Designer (with coding),VCCorp,Hà Nội,22-38 triệu,Mid-level,https://www.topcv.vn/viec-lam/ui/ux-designer-(with-coding),2026-01-30T09:27:19.573552,22.0,38.0,VND,22.0,38.0,30.0
Game Developer (Unity),VNG Games,Hồ Chí Minh,25-45 triệu,Mid-level,https://www.topcv.vn/viec-lam/game-developer-(unity),2026-01-30T09:27:19.573552,25.0,45.0,VND,25.0,45.0,35.0
