title,company,location,salary,level,url,crawled_at
Engineering Manager,Lazada Vietnam,Hồ Chí Minh,70-120 triệu,Manager,https://www.topcv.vn/viec-lam/engineering-manager,2026-01-30T09:27:19.573552
Technical Product Manager,Manabie,Hà Nội,60-100 triệu,Manager,https://www.topcv.vn/viec-lam/technical-product-manager,2026-01-30T09:27:19.573552
CTO (Chief Technology Officer),Startup AI,Hồ Chí Minh,100-200 triệu,Manager,https://www.topcv.vn/viec-lam/cto-(chief-technology-officer),2026-01-30T09:27:19.573552
Head of Engineering,Techcombank,Hà Nội,80-150 triệu,Manager,https://www.topcv.vn/viec-lam/head-of-engineering,2026-01-30T09:27:19.573552
Development Team Lead,MB Bank,Hồ Chí Minh,55-90 triệu,Lead,https://www.topcv.vn/viec-lam/development-team-lead,2026-01-30T09:27:19.573552
Machine Learning Engineer,FPT AI,Hà Nội,35-60 triệu,Mid-level,https://www.topcv.vn/viec-lam/machine-learning-engineer,2026-01-30T09:27:19.573552
Security Engineer,BKAV,Hà Nội,30-50 triệu,Mid-level,https://www.topcv.vn/viec-lam/security-engineer,2026-01-30T09:27:19.573552
Database Administrator,HDBank,Hồ Chí Minh,28-45 triệu,Mid-level,https://www.topcv.vn/viec-lam/database-administrator,2026-01-30T09:27:19.573552
UI/UX Designer (with coding),VCCorp,Hà Nội,22-38 triệu,Mid-level,https://www.topcv.vn/viec-lam/ui/ux-designer-(with-coding),2026-01-30T09:27:19.573552
Game Developer (Unity),VNG Games,Hồ Chí Minh,25-45 triệu,Mid-level,https://www.topcv.vn/viec-lam/game-developer-(unity),2026-01-30T09:27:19.573552
